,text,label
102,i started out feeling discouraged this morning,sadness
103,i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,fear
104,i grab it from the air its smooth frame feels cold to the touch,anger
105,i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals,anger
106,i hate that i m sitting here at the hostel writing this and feeling so perfectly fine and than i get home and it s me and my problems and a wall,joy
107,i do exercise i feel energetic and i am able to perform my other tasks in a very good manner,joy
108,i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,fear
109,im feeling pretty disheartened by the whole thing,sadness
110,i feel that an input from me will be valued as being less potent than say that of irfan pathan,joy
111,i feel is he generous,love
112,i even feel a little shaky,fear
113,i am feeling better though i dont sound it,joy
114,i always feel troubled when we re on the road touring living in a van or more recently in the circus buses no place to hang my hat as the song lyric has it,sadness
115,i feel our world then was a much more innocent place,joy
116,i feel thoroughly virtuous even if the daily trip to the compost bin isn t the most pleasant experience,joy
117,im not feeling anything suspicious really,fear
118,i was feeling a little sentimental today,sadness
119,i feel like i know who most of them are by now and am starting to develop my likes and dislikes though i have not been keen on the snap evictions they have seemed pretty pointless the first one to go returned and the two webmates made absolutely zero impact on me so they won t be missed,joy
120,i feel less whiney since the sun came out here in the sf area,sadness
121,made a wonderfull new friend,joy
122,i feel almost embarrassed to mention the single redshank and common sandpiper but there again who would not want to mention the lone wood sandpiper present at the waters edge,sadness
123,i know its easy to feel a little envious of me and i cant tell you that you shouldnt,anger
124,i would feel awful if she was here this whole time,sadness
125,i feel very mislead by someone that i really really thought i knew and liked very much so,love
126,i feel like we are doomed us humans,sadness
127,i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,fear
128,i got the sleep but if i could choose not to be woken up by an alarm i d definitely take that over anything it makes me feel so groggy,sadness
129,ive been boring for few weeks and feeling a bit gloomy cause of the rainy days,sadness
130,i feel that this information is vital to moving on with your day and you re not complete until you read it,joy
131,im feeling generous today heres one more you may have already seen but is good for a chuckle,love
132,i will feel awkward about just calling up one of these people out of the blue to hang out or rather to be familiar with them on a deeper level they are not my kith and kin,sadness
133,i don t like the feeling i get when someone is even a little bit offended by some offhand remark i ve made,anger
134,i get it crumble but thanks for feeling the need to tell me that im the one who is fucked up,anger
135,i am controlling the growth of this business and every time i post work for a client i feel even more determined to make it a full time business one day,joy
136,i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,fear
137,i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,anger
138,i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,sadness
139,i feel radiant bright accomplished and happy,joy
140,i feel refrigerator magnets that were so popular a few years ago,joy
141,i am feeling very touch deprived with all that has been happening,sadness
142,i am feeling apprehensive about it but also wildly excited,fear
143,i was feeling pretty relaxed by the time i boarded the very new looking airbus and headed into the hazy sky en route to honolulu,joy
144,i am a quiet person but what i have to say i feel is important,joy
145,i think i started to feel a little homesick,sadness
146,i am feeling eager to start doing some work the man who works there literally says so uhm you guys want to go in back and see if we can find anything to do,joy
147,i feel uncomfortable since i have a smaller rib cage and a bigger chest either i am spilling over the top of the tank or the elastic band support is too tight or too loose,fear
148,im feeling reluctant to exit my freshly cleaned apartment which i stayed up cleaning late last night,fear
149,i feel that i need to know that i can depend on myself before i put myself in the position of supporting someone else and being supported by someone else,love
150,im feeling rather angsty and listless,sadness
151,i try my best to love on them shed some light but i feel deeply compassionate with their problems and hurt even if its someone in the media,love
152,i was so uncomfortable and feeling weird feelings but wasn t sure if they were contractions since i never really felt contractions with jared until they jacked me up with pitocin,surprise
153,i feel gloomy and tired,sadness
154,i really like this person feel that the question was really asked out of a sincere place of love and concern about how to move forward in light of what the sexuality study recently a href http www,joy
155,i would force myself to eat my normal routine clean meals a day but then i just started feeling so awful,sadness
156,i feel rather privileged to have witnessed the great man in action it really was impossible for a novice like me to work out just which one of the four identical looking riders was he,joy
157,i feel like im at the spa getting a wonderful facial when i use them,joy
158,i feel petty all of a sudden,anger
159,i hope you like this more honest amp raw blog post amp if you are feeling unhappy i hope this makes you feel less alone,sadness
160,i feel slightly disgusted as well,anger
161,i was quite surprised with the weather these past few days but im so thankful for that since i still can wear my shorts out without feeling that cold yes no kidding,anger
162,i feel slightly relaxed being a,joy
163,i feel shy to admit that i was struggling to haul a single computer up,fear
164,i just went about my script of would you like mustard or sauce with that and started to feel really startled,fear
165,i enjoy my colleagues i m not feeling very sociable today,joy
166,im feeling and if ive liked being pregnant,love
167,i then feel your tender touch as you enfold me with his love,love
168,i lost a few people which i hate because i have a really hard time letting go of people to whom i feel loyal,love
169,i have had no interest at all to make any effort to meet men and when the chance arrises i then feel burdened with negative thoughts of he ll just be another idiot only after one thing,sadness
170,i feel i m being nutritionally supportive of it as well,love
171,i feel impatient i just post a blog entry and i feel ive gotten some words written and out into the world,anger
172,i am trying my hardest so i can get to a place where i can join you and finally feel like i have something worthwhile to say,joy
173,i have to admit i feel amused when i see the pti jamiat and a whole lot of others in the media try to avoid the suggestion that they are actually protesting the use of sharia in the case of raymond davis s release,joy
174,i feel embarrassed that it got so bad,sadness
175,im feeling really bitter about this one,anger
176,i feel brave today heading to amman and beirut by way of istanbul or i feel brave today a href http jessicadickinsongoodman,joy
177,i had a fab christmas and an amazing new year with my family and friends and against all odds i feel very optimistic about,joy
178,i feel like a loser everyone says they lost but i dont i know exactly where i am i just hate being here oh,sadness
179,i feel defeated but others i feel refreshed,sadness
180,i was feeling particularly vulnerable in a specific area so i began to talking to my friends and interestingly enough there was an incredible understanding of my struggle,fear
181,i go onto the officer down memorial page and reflect on my feelings about that wonderful officer which seems to make me feel a little better,joy
182,im with a group of people i still feel isolated and on the outside looking in,sadness
183,i feel blessed to know this family,love
184,i feel terrified because my landlord has not changed our locks yet,fear
185,i am loosing out but i feel like i have have so much to share with many and if anything that is not unfortunate if anything it makes me grateful,sadness
186,i don t like eating meals that feel too virtuous,joy
187,i left feeling pretty thrilled for the opportunity to at least throw my name in the hat,joy
188,i feel kinda weird when andrea tries to talk to me about chris,fear
189,i loved about ellie is that she didnt feel insulted by all the rude douche baggy things lothaire said to her because according to ellie insults only hurt when they come from somebody you respect damn straight,anger
190,i feel was pretty triumphant,joy
191,im enjoying my solitary confinement at home i rarely feel lonely,sadness
192,i am being over dramatic but i do feel very strongly for her and i am resolved to speak with her next chance i get,joy
193,i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,anger
194,i feel so lousy but i shouldnt be focusing on me now,sadness
195,i cant remember ever feeling so exhausted it took trips with the car on the last day to get everything brought to the trailer,sadness
196,i wrote two years ago so many things i feel unsure of maybe,fear
197,i feel suspicious of informality and a lack of credentials,fear
198,i receive every month make me proud and feel appreciative,joy
199,i feel that third situation pretty much sums up my feelings toward this title,joy
200,i wanted to feel him in my hands and reached out to take him into my waiting eager mouth,joy
201,i feel more gentle that way wth,love
202,i got home feeling hot tired and great,love
203,i feel more creative,joy
204,i feel so talented i can use a computer,joy
205,i feel unfathomably rich in having had a healthy pregnancy so far,joy
206,i wish to know whether i should feel sympathetic towards the airline american if say their plane is on fire or their pilot has exploded or whether i should want to set them on fire if say they just decided to walk on their obligations to save money,love
207,i don t want them to feel so pressured,fear
208,i still feel frightened of the world yet no where near as much as i used to,fear
209,im not feeling mellow,joy
210,i wake too early so i feel grumpy,anger
211,i believe you all will come to my work place and just try to make me feel humiliated but you know what deep down in my heart i know who is the one who should be ashamed of themselves,sadness
212,i did finally get it if you didn t laugh left me feeling delighted exhausted and just so privileged,joy
213,i was remembering this i was feeling skeptical,fear
214,i have some pretty brazen goals and each day i feel stronger and more confident that i m going to reach my desired end result,joy
215,i feel dirty talking to people for my personal gain,sadness
216,i sat there cold i flashed back to going to the hockey city classic and the degree weather and it feeling just as cold even though there was about a degree difference this night,anger
217,i feel numb as i carry on and i wonder if i will get over it,sadness
218,i was somewhat coerced into this blog review so i feel a bit rushed and flustered,anger
219,i guess i wont feel too jealous since i often do my mothering at the pool but its nice to have a husband again,anger
220,im not sure how i feel about needing to exercise so as to maintain a pleasant demeanor,joy
221,i feel alarmed,fear
222,i think i wanted audiences to feel impressed inspired or entertained when i was on stage,surprise
223,i wasnt feeling well yesterday morning afternoon so i just laid in bed and ended up in the all too familiar youtube black hole,joy
224,i have these terrible feelings that i hyped myself up to be more talented than i am,joy
225,i do take on a half marathon challenge then i will wait and see how the body feels as to whether there will be a pb attempt or a casual kilometre shuffle,joy
226,i couldn t help but feel pissed off at both sides of the debate and the unnecessary dichotomy itself,anger
227,i feel like i cant be respected if i have self respect because it is so regular to now hate your self,joy
228,i smiled at him feeling his longing and said maybe later buddy but i have to make lunch now,love
229,i am truly unfortunate the majority of the time i m usually drained but i obtain it hard to get from bed i really feel restless and others,fear
230,i am feeling rather damaged,sadness
231,i said i feel ugly today,sadness
232,i left my garmin on my bike so i was going to have to do this by feel coming out of transition its amazing hearing cheers and your adrenaline is just going crazy,joy
233,i feel so smart when i find ways to trick myself like this,joy
234,i love to dance but often feel inhibited by my own body unsure what i am capable of hyper concerned about other people watching me and having opinions on my style or just feeling awkward as if i have no idea what i am supposed to do here,fear
235,i feel like cards are the perfect thing to make with them,joy
236,i feel like some heroine of some tragic manga,sadness
237,i just feel safer than working part time casual at hr,joy
238,i was ambushed again it was apparently my fault again i feel worthless,sadness
239,i feel privileged to be a part of something so eternal and so precious to the lord jesus he shed his blood so that churches like this could exist,joy
240,i feel wholly inadequate to the task before me,sadness
241,i have a feeling this is a bit naughty scanning an article from a magazine but i know that so many people would love to read thi,love
242,i see you on the pitchers mound at our little league diamond i feel so anxious for you because it looks so isolated over there,fear
243,i feel like i am joining the masses which goes against my rebellion of the popular mentality ha i m so goth but i take peace in knowing that i am not making the same resolutions as everyone else,joy
244,i feel disillusioned with the occult so i have come to feel a greater connection to the earth,sadness
245,i feel stupid whenever this happens,sadness
246,i come home and feel so shitty i cant bring myself to do all the work i need to do,sadness
247,i feel like my irritable sensitive combination skin has finally met it s match,anger
248,i like it though its very over the top but makes me feel clever by association,joy
249,i will practice meditation if i feel overwhelmed and hopefully become successful in peaceful practice,surprise
250,i feel like it was all in vain cant be right and feel this wrong this heart of mine is just,sadness
251,i hope everyone can help with charity work without feeling stressed about such things,sadness
252,i feel so guilty for putting my child in daycare,sadness
253,i get frustrated that unresolved issues from my past have had a severe negative effect on my behavior and feel he must be angry that i have not resolved them by now,anger
254,i feel blessed beyond blessed to share my life with you each week,love
255,i feel devastated over things that i have lost i will remind myself to be grateful for what i still have,sadness
256,im feeling energetic,joy
257,i have come to understand that feelings are neither positive nor negative,joy
258,i just don t like to be asked about the reason behind my mood when i m feeling gloomy laughs,sadness
259,i feel really bothered about the lack of time i get to find inspiration,anger
260,i used to be able to hang around talk with the cashier when i was putting away my money now i feel rushed and stressed if i take a second to fumble with the coins and put them in my purse,anger
261,i feel frustrated or the world around me lies shattered i just go and walk in the rain so that no body could see my eyes full of tears this is the delivery system of justice as conceptualized by our courts which we are learning the hard way,anger
262,i realized what i am passionate about helping women feel accepted and appreciated,joy
263,i could change the emphasis and say i am stella and i m noticing i m feeling impatient,anger
264,i don t like outsourcing because i m a picky sod and usually end up feeling dissatisfied with the work of others but i have to force myself to outsource because you need to realize you can t do everything yourself,anger
265,i feel so blessed and honored that we get to be its parents,love
266,i do feel welcomed but it s a little weird,joy
267,i feel like i entertained sd all day,joy
268,ive struggled mightily through today and even though i feel cranky and tired and unmotivated still i really am not going to be going to sleep before eleven thirty,anger
269,i remember sitting out on the porch feeling drained and alone even as sunlight bathed my hair in warm radiance and a light breeze cooled my cheeks,sadness
270,i didnt feel i rushed things dhawan tweet script type text javascript src http platform,anger
271,i realized i was feeling really irritated while i was saying that,anger
272,i am balancing on my hands with my feet hanging over and it feels like pretty far and im terrified to let them drop but im totally calm at the same time hanging here,fear
273,i feel so fucking worthless,sadness
274,i feel like a lot of men are royally fucked up and go through life wreaking havoc and end up destroying themselves in the process,anger
275,i feel devastated that my art style can be copied,sadness
276,i feel fine about feeling well fine,joy
277,i can only begin to feel how distraught she must be,fear
278,i also didnt feel i could be mad at god because i know inside me that god does nothing without a purpose,anger
279,i think we were both feeling a little drained from work as well,sadness
280,i gather supplies and start to check her progress via internal exam the head midwife prepares to start an iv and calmly asks others for more assistance i feel reassured by her calmness,joy
281,i feel crappy i eat crappy,sadness
282,i feel more of numb now,sadness
283,i feel extremely honoured to have received such a prestigious award,joy
284,im feeling adventurous and successful in my quest so far,joy
285,i feel so thrilled to have three such distinguished individuals such as yourselves here,joy
286,i figured my parents wont make me feel accepted so i stopped trying i turned to romantic relationships with men,love
287,i was left feeling empty,sadness
288,i feel pretty much like this scene from a href http www,joy
289,i may not have really been feeling superior but i certainly was feeling that i had the answers wasnt i,joy
290,i just feel are ludicrous and wasting space or so trite they should have looked at the book first and come up with something a little more original,surprise
291,i feel like a wimpy canoe floating towards a rising tsunami,fear
292,i feel sympathetic towards her she was tired and weary and i can see how a split second doubt could make the effortless action of standing still seem like the better option,love
293,i start to feel unloved and unappreciated,sadness
294,i just want to know the feeling of loving and be loved,love
295,i feel strange talking about less serious things right now like cooking,fear
296,i sometimes have urges to just freak out because i feel so bothered and usually nothing has caused me to feel bothered or irritated i scratch my arms when i m mad,anger
297,i feel miserable and he doesnt care,sadness
298,i am not surprised cause its like ok when you feel crappy and it just continues for like days or so you really try to avoid getting that sickness again,sadness
299,im feeling slightly irritable today,anger
300,i like to add things that i already completed in my day to a new list just to feel more productive when i cross them off,joy
301,i always feel rushed during these emails which i dont like but asa este,anger
302,i feel like now its more of sweet apple now,love
303,i was so impressed with the show especially for hs and i was moved by these talented kids but then again i feel very passionate about productions and music and theatre in schools so i am always happy to endorse many hs productions throughout their seasons during this time,love
304,i feel like i should be supporting them somehow but im not sure how,joy
305,i have a lot going on in my life and feel overwhelmed,fear
306,i took for granted a few weeks ago is really weird and makes me feel really agitated and frustrated,anger
307,i also know what it feels like to be in a relationship where you feel like a burden and too much and not worth loving or pursuing and its just,love
308,i know what you mean about feeling agitated,fear
309,i am feeling pressured to blog the bad,fear
310,i feel like being sociable and just aaaah,joy
311,i didnt feel at all deprived having it in my chai this morning,sadness
312,i was feeling very unsure of myself and at near breaking point,fear
313,i remember leaving church feeling invigorated every sunday and tuesday night,joy
314,i will nolonger tell anybody how i feel or what im thinking cause all it seems to do is get me more hated than i already am,sadness
315,i asked her what she meant by shes gonna feel jealous having loada of girls over me and then she said maybee i do like you a bitt,anger
316,i feel that i am supporting the troops by demanding that we not send our young men and women into harm s way to bear arms against a country that has done nothing to threaten us at any point,love
317,i feel all funny sometimes,surprise
318,i am feeling crampy and cranky,anger
319,i indicated then i was feeling quite overwhelmed with work responsibilities teaching traveling and writing,fear
320,i just say that i am not even feeling embarrassed when i pause and rewind my dvred commercials if the breaking dawn preview comes on,sadness
321,i spend a lot of time feeling disappointed with myself for not doing a better job at attaining my goals,sadness
322,i feel stressed but i love the feeling of the calming spirit of my heavenly father and the feeling to keep working,sadness
323,i feel more thankful being greeted by many friends and families,joy
324,i no longer feel doomed to falling into the abyss with no way out,sadness
325,i bought it at urban outfitters so it could fit mm film and have been feeling remorseful ever since,sadness
326,i just can t feel accepted,love
327,ive a feeling briar beagle would give me one of her disgusted looks if i even tried exercising her in these souless surroundings,anger
328,i just need to accept to be treated like a princess everyday without feeling dumb about the situation,sadness
329,i just got up from a nap feeling really rotten so exhausted that i feel like i could just wilt onto the floor just sitting here,sadness
330,i feel very indecisive about it,fear
331,i feel if the pressure vessel has been seriously damaged then far more radiation would have leaked he said,sadness
332,i have better things to do than to feel humiliated,sadness
333,i feel check the wonder in all that you see you ve got to get loving unconditionally,love
334,ive been feeling a bit melancholy,sadness
335,i believe that feeling accepted in a non judgemental way can be healing,joy
336,i do feel stressed,sadness
337,i feel benevolent enough to buy them some peanuts and other treats,joy
338,i feel fine class pin it button count layout horizontal pin it,joy
339,i feel so worthless and useless these past weeks just because im a certified by stander at home,sadness
340,i feel immensely distracted by the barrage of media i receive solicit,anger
341,ive been feeling from my adoring fans that would be teh whole like of you who are my friends here i felt brave and excited and ventrured forth with guitar in hand to a local open mic night,love
342,i love and captured an atmospheric feeling in their landscapes that really impressed me,surprise
343,is hand started fondling his aching cock through the fabric of his boxers and he instinctively arched his back to feel more of the delicious sensation,joy
344,i am feeling energized productive and creative,joy
345,i am feeling lucky to have him,joy
346,i feel is vital to keeping my spirit young even as my body fades,joy
347,i feel agitated and annoyed more than worried or fearful but these feelings can easily lead to being short tempered with my family and feelings of disharmony,fear
348,i still feel scared every time i go into a strange place,fear
349,i don t feel the author s talented,joy
350,i feel so jaded and bored,sadness
351,im pretty sure and its been about a week and a half so although im feeling kind of betrayed and disillusioned by men at the moment everythings okay,sadness
352,i feel like ive lost my mind,sadness
353,i could feel his breath on me and smell the sweet scent of him,joy
354,i could just take my beliefs and feelings and lock them in a safe somewhere until i get my human life squared away i and just about everyone i know would be a lot happier or perhaps not,joy
355,i am feeling sinfully horny this sunday morning,love
356,i just feel like someone out there has to listen and be sympathetic and then,love
357,ive feeling a little blank and could think of nothing to write about which might be interesting to explore or had my mind captivated,sadness
358,i feel as the sleep drained from my head i sat up my dog nudging me for affection my wife too has been wanting affection,sadness
359,i feel to aid other women with infertility disorders this valuable individual guidance is offered for a restricted number of people,joy
360,i remember feeling envious but then why would a young healthy person envy someone who s just barely survived,anger
361,im still feeling very emotional,sadness
362,im in that last bit of sleep before i get up in the morning i feel like that emotional energy just waits for me,sadness
363,i know nothing is going to change even i feel very envious to these people but i cant stop feeling jealous to these people because its a human beings instinct to act so,anger
364,im happy i feel out of energy and not very inspired to do my crafts,joy
365,i was struck by the masculine feel of the strong graphics and deep colors in this months painting nighthawks by edward hopper,joy
366,i feel like youre just not there some body that im trying to be affectionate with it feels like im molesting some stranger i dont even know,love
367,i think it s the opposite i get to feel defeated because i was doing everything possible to keep baby healthy and my sugars in check,sadness
368,i am trying not to feel bitter but how else can i feel when it seems my desire is pretty much impossible,anger
369,i feel if i am nagged i stop caring,love
370,i just feel totally useless today,sadness
371,i feel honored to receive the grassroots preservation award,joy
372,i feel contented just hearing him said that hellip,joy
373,i am reminded of pavement yurusei yatsura and coheed and cambria without feeling offended that they have ripped them off,anger
374,i feel no positive regard,joy
375,im feeling a lot less ugly duckling and a lot more a href http,sadness
376,i suppose if one was feeling generous one could say i was stressed by the elevator ride,joy
377,im feeling kind of melancholy and really want to go home and cuddle up with my boys,sadness
378,i feel like the people that i myself love want and need don t talk to me and don t connect with me anymore because they have fucked up mental health and emotional problems that i can t help contribute contain understand or encompass,anger
379,i feel that the suffering is more than i can bear i take refuge in the lord in the blessed sacrament and i speak to him with profound silence,sadness
380,i feel afraid agn lol whats new,fear
381,i am writing and sharing here is much more about my own story and what i believe with all my heart the world needs to know the riches we have in god than me feeling angry towards or trying to bash the people and leaders and parents,anger
382,im feeling dazed and alot of things in my mind,surprise
383,i feel so scared when the voices from there start to speak to me,fear
384,i feel very honoured to have been part of the bond family and very much hope i have a chance to work with them again sometime in the future,joy
385,i feel insulted pete edochie responds to death,anger
386,i feel but not to such a hostile extent,anger
387,i always feel so pressured,fear
388,i electrocuted my thumb and i cant type too well because i cant really you know feel some of my fingers as an acceptable excuse for a late paper,joy
389,i carried my phone in my pocket and didn t feel the pull to get lost in it,sadness
390,i sit here writing this i feel unhappy inside,sadness
391,i could feel my mother s sympathetic dread as i was diagnosed,love
392,i get disappointed it makes me feel so rejected especially being disappointed by a loved one,sadness
393,i left there feeling brow beaten,sadness
394,i am feeling vulnerable nervous worried anxious and a bit lost,fear
395,i was feeling defeated i usually pick things up easily this way but i just wasn t getting it,sadness
396,i am most certainly an acquired taste but lately many of those around me have seemed to feel the taste to be bitter,anger
397,i feel i am rich because my life both real and online is filled with friends and family with whom i would not want to live without,joy
398,i feel bad saying this because i should be happy but i dont think this way that im going is for me anymore,sadness
399,ive been feeling afraid a lot lately,fear
400,i see momo feel shy momo hmmm gt me heyy momo,fear
401,i feel amused looking at the little turtle who sneaked in with them,joy
402,i purple month doesnt feel surprised in fact zhuo feng up many pupils all clear xiao her identity dont even say main star feng of young,surprise
403,i feel like there is no way out being humiliated by asa a guy i was obssessed about who played an embarrassing joke on me getting caught by tabbys wife tabby is a lover i once had who was married and i blindly fell in love with him,sadness
404,i feel like breathing is as delicate as dried rose petals sometimes,love
405,im thankful because i feel somewhat energetic instead of the dead fish that i would become every time every chemo,joy
406,i feel so honored today and i want to share the emotion and my gratitude because i received a very complimentary email from someone who reads thought provoking perspectives,joy
407,ive tried bare minerals but it makes me feel like my face is dirty,sadness
