,Original Label,ANGER,LOVE,SADNESS,SURPRISE,JOY,FEAR,Predicted Label
36,joy,0,0,0,0,0,0,not found
37,joy,0.218,0.218,0.234,0.218,0.218,0.218,sadness
38,anger,0.238,0.238,0.256,0.238,0.238,0.238,sadness
39,joy,0.377,0.377,0.408,0.377,0.377,0.377,sadness
40,joy,0.338,0.338,0.365,0.338,0.338,0.338,sadness
41,joy,0.18,0.18,0.192,0.18,0.18,0.18,sadness
42,joy,0.276,0.276,0.297,0.276,0.276,0.276,sadness
43,joy,0.22,0.22,0.235,0.22,0.22,0.22,sadness
44,sadness,0.281,0.281,0.303,0.281,0.281,0.281,sadness
45,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
46,joy,0.272,0.272,0.294,0.272,0.272,0.272,sadness
47,love,0.409,0.409,0.442,0.409,0.409,0.409,sadness
48,joy,0.148,0.148,0.157,0.148,0.148,0.148,sadness
49,anger,0,0,0,0,0,0,not found
50,joy,0.372,0.372,0.401,0.372,0.372,0.372,sadness
51,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
52,anger,0,0,0,0,0,0,not found
53,fear,0.333,0.333,0.364,0.333,0.333,0.333,sadness
54,joy,0.185,0.185,0.198,0.185,0.185,0.185,sadness
55,sadness,0.267,0.267,0.287,0.267,0.267,0.267,sadness
56,sadness,0.397,0.397,0.407,0.379,0.397,0.397,sadness
57,surprise,0.75,0.75,0.818,0.75,0.75,0.75,sadness
58,joy,0.253,0.253,0.273,0.253,0.253,0.253,sadness
59,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
60,joy,0.23,0.23,0.247,0.23,0.23,0.23,sadness
61,love,0.422,0.422,0.419,0.389,0.422,0.456,fear
62,fear,0.161,0.161,0.172,0.161,0.161,0.161,sadness
63,fear,0.412,0.412,0.446,0.412,0.412,0.412,sadness
64,surprise,0.225,0.225,0.242,0.225,0.225,0.225,sadness
65,anger,0.225,0.225,0.242,0.225,0.225,0.225,sadness
66,anger,0.182,0.182,0.195,0.182,0.182,0.182,sadness
67,sadness,0.508,0.508,0.506,0.469,0.508,0.508,anger
68,love,0.524,0.524,0.567,0.524,0.524,0.524,sadness
69,joy,0.139,0.139,0.15,0.139,0.139,0.139,sadness
70,sadness,0.196,0.196,0.21,0.196,0.196,0.196,sadness
71,sadness,0.339,0.339,0.362,0.339,0.339,0.339,sadness
72,joy,0.232,0.232,0.252,0.232,0.232,0.232,sadness
73,sadness,0.203,0.203,0.217,0.203,0.203,0.203,sadness
74,sadness,0.221,0.221,0.238,0.221,0.221,0.221,sadness
75,sadness,0.178,0.178,0.192,0.178,0.178,0.178,sadness
76,joy,0.287,0.287,0.31,0.287,0.287,0.287,sadness
77,joy,0.424,0.424,0.456,0.424,0.424,0.424,sadness
78,joy,0.253,0.253,0.274,0.253,0.253,0.253,sadness
79,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
80,sadness,0.228,0.228,0.245,0.228,0.228,0.228,sadness
81,anger,0.226,0.226,0.243,0.226,0.226,0.226,sadness
82,anger,0.239,0.239,0.258,0.239,0.239,0.239,sadness
83,anger,0.472,0.472,0.513,0.472,0.472,0.472,sadness
84,joy,0.308,0.308,0.333,0.308,0.308,0.308,sadness
85,joy,0.273,0.273,0.293,0.273,0.273,0.273,sadness
86,joy,0.571,0.571,0.621,0.571,0.571,0.571,sadness
87,joy,0.188,0.188,0.199,0.188,0.188,0.188,sadness
88,sadness,0.282,0.282,0.304,0.282,0.282,0.282,sadness
89,fear,0.258,0.258,0.276,0.258,0.258,0.258,sadness
90,love,0.198,0.198,0.212,0.198,0.198,0.198,sadness
91,anger,0.484,0.484,0.525,0.484,0.484,0.484,sadness
92,sadness,0.193,0.193,0.206,0.193,0.193,0.193,sadness
93,anger,0.5,0.5,0.467,0.438,0.5,0.5,anger
94,love,0.353,0.353,0.348,0.323,0.353,0.353,anger
95,sadness,0.234,0.234,0.252,0.234,0.234,0.234,sadness
96,joy,0.359,0.359,0.387,0.359,0.359,0.359,sadness
97,joy,0.224,0.224,0.244,0.224,0.224,0.224,sadness
98,sadness,0.226,0.226,0.245,0.226,0.226,0.226,sadness
99,anger,0.328,0.328,0.353,0.328,0.328,0.328,sadness
100,love,0.341,0.341,0.367,0.341,0.341,0.341,sadness
101,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
102,joy,0.256,0.256,0.273,0.256,0.256,0.256,sadness
103,joy,0.279,0.279,0.3,0.279,0.279,0.279,sadness
104,sadness,0.29,0.29,0.313,0.29,0.29,0.29,sadness
105,joy,0.262,0.262,0.28,0.262,0.262,0.262,sadness
106,joy,0.294,0.294,0.318,0.294,0.294,0.294,sadness
107,joy,0.3,0.3,0.325,0.3,0.3,0.3,sadness
108,joy,0.533,0.533,0.571,0.533,0.533,0.533,sadness
109,sadness,0.273,0.273,0.295,0.273,0.273,0.273,sadness
110,joy,0.236,0.236,0.253,0.236,0.236,0.236,sadness
111,joy,0,0,0,0,0,0,not found
112,love,0.298,0.298,0.323,0.298,0.298,0.298,sadness
113,sadness,0.226,0.226,0.242,0.226,0.226,0.226,sadness
114,sadness,0.833,0.833,0.909,0.833,0.833,0.833,sadness
115,joy,0.192,0.192,0.205,0.192,0.192,0.192,sadness
116,joy,0.264,0.264,0.283,0.264,0.264,0.264,sadness
117,sadness,0.425,0.46,0.418,0.389,0.425,0.425,love
118,joy,0.287,0.287,0.309,0.287,0.287,0.287,sadness
119,joy,0.235,0.235,0.254,0.235,0.235,0.235,sadness
120,fear,0.129,0.129,0.137,0.129,0.129,0.129,sadness
121,fear,0.269,0.269,0.289,0.269,0.269,0.269,sadness
122,fear,0.166,0.166,0.177,0.166,0.166,0.166,sadness
123,sadness,0.3,0.3,0.327,0.3,0.3,0.3,sadness
124,love,0.188,0.188,0.203,0.188,0.188,0.188,sadness
125,joy,0.267,0.267,0.287,0.267,0.267,0.267,sadness
126,joy,0.267,0.267,0.287,0.267,0.267,0.267,sadness
127,love,0.196,0.196,0.21,0.196,0.196,0.196,sadness
128,fear,0.357,0.386,0.353,0.329,0.357,0.357,love
129,surprise,0.191,0.191,0.206,0.191,0.191,0.191,sadness
130,joy,0.185,0.185,0.198,0.185,0.185,0.185,sadness
131,joy,0.214,0.214,0.23,0.214,0.214,0.214,sadness
132,joy,0,0,0,0,0,0,not found
133,joy,0.348,0.348,0.377,0.348,0.348,0.348,sadness
134,anger,0.29,0.29,0.31,0.29,0.29,0.29,sadness
135,fear,0.275,0.275,0.296,0.275,0.275,0.275,sadness
136,joy,0.242,0.242,0.258,0.242,0.242,0.242,sadness
137,anger,0.462,0.462,0.5,0.462,0.462,0.462,sadness
138,love,0.236,0.236,0.253,0.236,0.236,0.236,sadness
139,anger,0.129,0.129,0.138,0.129,0.129,0.129,sadness
140,sadness,0.257,0.257,0.275,0.257,0.257,0.257,sadness
141,joy,0.381,0.381,0.412,0.381,0.381,0.381,sadness
142,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
143,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
144,joy,0.205,0.205,0.221,0.205,0.205,0.205,sadness
145,surprise,0.125,0.125,0.133,0.125,0.125,0.125,sadness
146,sadness,0.192,0.192,0.205,0.192,0.192,0.192,sadness
147,anger,0.256,0.256,0.276,0.256,0.256,0.256,sadness
148,anger,0.517,0.517,0.56,0.517,0.517,0.517,sadness
149,sadness,0.286,0.286,0.308,0.286,0.286,0.286,sadness
150,joy,0.429,0.429,0.462,0.429,0.429,0.429,sadness
151,fear,0.297,0.297,0.321,0.297,0.297,0.297,sadness
152,joy,0.292,0.292,0.315,0.292,0.292,0.292,sadness
153,joy,0.461,0.461,0.498,0.461,0.461,0.461,sadness
154,fear,0.245,0.245,0.265,0.245,0.245,0.245,sadness
155,sadness,0,0,0,0,0,0,not found
156,surprise,0.398,0.398,0.429,0.398,0.398,0.398,sadness
157,surprise,0.399,0.399,0.434,0.399,0.399,0.399,sadness
158,joy,0.161,0.161,0.172,0.161,0.161,0.161,sadness
159,anger,0.331,0.36,0.328,0.303,0.331,0.331,love
160,fear,0.284,0.284,0.306,0.284,0.284,0.284,sadness
161,anger,0.384,0.384,0.395,0.367,0.384,0.384,sadness
162,sadness,0.3,0.3,0.324,0.3,0.3,0.3,sadness
163,anger,0.187,0.187,0.199,0.187,0.187,0.187,sadness
164,sadness,0,0,0,0,0,0,not found
165,fear,0.285,0.285,0.307,0.285,0.285,0.285,sadness
166,sadness,0.143,0.143,0.154,0.143,0.143,0.143,sadness
167,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
168,surprise,0.583,0.583,0.629,0.618,0.583,0.583,sadness
169,fear,0.256,0.256,0.276,0.256,0.256,0.256,sadness
170,joy,0.357,0.357,0.389,0.357,0.357,0.357,sadness
171,anger,0.286,0.286,0.308,0.286,0.286,0.286,sadness
172,joy,0.333,0.333,0.364,0.333,0.333,0.333,sadness
173,anger,0.462,0.462,0.501,0.462,0.462,0.462,sadness
174,joy,0.278,0.278,0.299,0.278,0.278,0.278,sadness
175,fear,0.244,0.244,0.26,0.244,0.244,0.244,sadness
176,fear,0.118,0.118,0.125,0.118,0.118,0.118,sadness
177,sadness,0.384,0.384,0.415,0.384,0.384,0.384,sadness
178,joy,0.365,0.365,0.392,0.365,0.365,0.365,sadness
179,joy,0.546,0.546,0.589,0.546,0.546,0.546,sadness
180,sadness,0.167,0.167,0.178,0.167,0.167,0.167,sadness
181,surprise,0.297,0.297,0.321,0.297,0.297,0.297,sadness
182,joy,0.615,0.615,0.667,0.615,0.615,0.615,sadness
183,fear,0.25,0.25,0.267,0.25,0.25,0.25,sadness
184,joy,0.476,0.476,0.517,0.476,0.476,0.476,sadness
185,sadness,0.279,0.279,0.3,0.279,0.279,0.279,sadness
186,joy,0.641,0.641,0.69,0.641,0.641,0.641,sadness
187,joy,0,0,0,0,0,0,not found
188,joy,0.338,0.338,0.363,0.338,0.338,0.338,sadness
189,fear,0.833,0.833,0.909,0.833,0.833,0.833,sadness
190,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
191,surprise,0.454,0.454,0.491,0.454,0.454,0.454,sadness
192,joy,0.257,0.257,0.279,0.257,0.257,0.257,sadness
193,anger,0.263,0.263,0.284,0.263,0.263,0.263,sadness
194,sadness,0.155,0.155,0.168,0.155,0.155,0.155,sadness
195,sadness,0.267,0.267,0.286,0.267,0.267,0.267,sadness
196,joy,0.178,0.178,0.191,0.178,0.178,0.178,sadness
197,anger,0.647,0.647,0.648,0.599,0.647,0.647,sadness
198,sadness,0.29,0.29,0.313,0.29,0.29,0.29,sadness
199,joy,0.226,0.226,0.242,0.226,0.226,0.226,sadness
200,joy,0.23,0.23,0.247,0.23,0.23,0.23,sadness
201,surprise,0.308,0.308,0.333,0.308,0.308,0.308,sadness
202,joy,0.403,0.403,0.436,0.403,0.403,0.403,sadness
203,fear,0.279,0.279,0.3,0.279,0.279,0.279,sadness
204,joy,0.268,0.268,0.287,0.268,0.268,0.268,sadness
205,fear,0.457,0.457,0.496,0.478,0.457,0.457,sadness
206,sadness,0.343,0.343,0.368,0.343,0.343,0.343,sadness
207,fear,0.203,0.203,0.218,0.203,0.203,0.203,sadness
208,love,0.205,0.205,0.221,0.205,0.205,0.205,sadness
209,sadness,0.433,0.433,0.467,0.433,0.433,0.433,sadness
210,fear,0.279,0.279,0.3,0.279,0.279,0.279,sadness
211,love,0.167,0.167,0.179,0.167,0.167,0.167,sadness
212,sadness,0.248,0.248,0.267,0.248,0.248,0.248,sadness
213,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
214,anger,0.238,0.238,0.257,0.238,0.238,0.238,sadness
215,joy,0.714,0.714,0.769,0.714,0.714,0.714,sadness
216,love,0.35,0.35,0.377,0.35,0.35,0.35,sadness
217,anger,0.286,0.286,0.308,0.286,0.286,0.286,sadness
218,sadness,0.235,0.235,0.253,0.235,0.235,0.235,sadness
219,surprise,0.288,0.288,0.306,0.288,0.288,0.288,sadness
220,anger,0.433,0.433,0.467,0.433,0.433,0.433,sadness
221,joy,0.294,0.294,0.318,0.294,0.294,0.294,sadness
222,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
223,anger,0.228,0.228,0.245,0.228,0.228,0.228,sadness
224,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
225,joy,0.196,0.196,0.21,0.196,0.196,0.196,sadness
226,joy,0.5,0.5,0.545,0.5,0.5,0.5,sadness
227,joy,0.353,0.353,0.383,0.353,0.353,0.353,sadness
228,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
229,sadness,0.261,0.261,0.281,0.261,0.261,0.261,sadness
230,joy,0.202,0.202,0.216,0.202,0.202,0.202,sadness
231,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
232,joy,0.163,0.163,0.173,0.163,0.163,0.163,sadness
233,sadness,0.198,0.198,0.212,0.198,0.198,0.198,sadness
234,anger,0.286,0.286,0.308,0.286,0.286,0.286,sadness
235,surprise,0.312,0.312,0.332,0.312,0.312,0.312,sadness
236,joy,0.357,0.357,0.383,0.357,0.357,0.357,sadness
237,anger,0.833,0.833,0.909,0.833,0.833,0.833,sadness
238,joy,0.283,0.283,0.306,0.283,0.283,0.283,sadness
239,love,0.259,0.259,0.28,0.259,0.259,0.259,sadness
240,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
241,sadness,0.55,0.55,0.597,0.55,0.55,0.55,sadness
242,joy,0.421,0.421,0.454,0.421,0.421,0.421,sadness
243,sadness,0.233,0.233,0.252,0.233,0.233,0.233,sadness
244,sadness,0.233,0.233,0.253,0.233,0.233,0.233,sadness
245,joy,0.235,0.235,0.25,0.235,0.235,0.235,sadness
246,sadness,0.258,0.258,0.276,0.258,0.258,0.258,sadness
247,joy,0.384,0.384,0.414,0.384,0.384,0.384,sadness
248,joy,0.216,0.216,0.231,0.216,0.216,0.216,sadness
249,joy,0.389,0.389,0.42,0.389,0.389,0.389,sadness
250,fear,0.144,0.144,0.155,0.144,0.144,0.144,sadness
251,sadness,0.293,0.293,0.316,0.293,0.293,0.293,sadness
252,anger,0.267,0.267,0.289,0.267,0.267,0.267,sadness
253,sadness,0.375,0.375,0.406,0.375,0.375,0.375,sadness
254,anger,0.268,0.268,0.287,0.268,0.268,0.268,sadness
255,love,0.353,0.353,0.382,0.353,0.353,0.353,sadness
256,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
257,love,0.312,0.312,0.334,0.312,0.312,0.312,sadness
258,sadness,0.424,0.424,0.457,0.424,0.424,0.424,sadness
259,joy,0.235,0.235,0.25,0.235,0.235,0.235,sadness
260,joy,0.273,0.273,0.294,0.273,0.273,0.273,sadness
261,joy,0.202,0.202,0.216,0.202,0.202,0.202,sadness
262,sadness,0.196,0.196,0.21,0.196,0.196,0.196,sadness
263,joy,0.175,0.175,0.189,0.175,0.175,0.175,sadness
264,sadness,0.248,0.248,0.267,0.248,0.248,0.248,sadness
265,anger,0.383,0.383,0.415,0.383,0.383,0.383,sadness
266,love,0.554,0.625,0.518,0.482,0.554,0.554,love
267,sadness,0,0,0,0,0,0,not found
268,love,0.332,0.332,0.358,0.332,0.332,0.332,sadness
269,sadness,0.433,0.433,0.467,0.433,0.433,0.433,sadness
270,sadness,0.228,0.228,0.244,0.228,0.228,0.228,sadness
271,sadness,0.263,0.263,0.282,0.263,0.263,0.263,sadness
272,sadness,0.325,0.325,0.348,0.325,0.325,0.325,sadness
273,sadness,0.229,0.229,0.246,0.229,0.229,0.229,sadness
274,sadness,0.242,0.242,0.261,0.242,0.242,0.242,sadness
275,fear,0.287,0.287,0.31,0.287,0.287,0.287,sadness
276,joy,0.279,0.279,0.3,0.279,0.279,0.279,sadness
277,sadness,0.205,0.205,0.22,0.205,0.205,0.205,sadness
278,sadness,0.833,0.833,0.909,0.833,0.833,0.833,sadness
279,joy,0.279,0.279,0.3,0.279,0.279,0.279,sadness
280,love,0.222,0.222,0.238,0.222,0.222,0.222,sadness
281,sadness,0.434,0.434,0.469,0.434,0.434,0.434,sadness
282,anger,0.374,0.374,0.404,0.374,0.374,0.374,sadness
283,sadness,0.346,0.346,0.377,0.346,0.346,0.346,sadness
284,love,0.268,0.268,0.287,0.268,0.268,0.268,sadness
285,joy,0.279,0.279,0.3,0.279,0.279,0.279,sadness
286,joy,0.375,0.375,0.4,0.375,0.375,0.375,sadness
287,joy,0.245,0.245,0.265,0.245,0.245,0.245,sadness
288,sadness,0.545,0.545,0.6,0.545,0.545,0.545,sadness
289,joy,0.25,0.25,0.27,0.25,0.25,0.25,sadness
290,sadness,0,0,0,0,0,0,not found
291,joy,0.36,0.36,0.39,0.36,0.36,0.36,sadness
292,joy,0.37,0.37,0.398,0.39,0.37,0.37,sadness
293,joy,0.315,0.315,0.341,0.315,0.315,0.315,sadness
294,sadness,0.118,0.118,0.125,0.118,0.118,0.118,sadness
295,sadness,0.481,0.481,0.52,0.481,0.481,0.481,sadness
296,sadness,0.52,0.52,0.479,0.443,0.52,0.52,anger
297,love,0.375,0.375,0.406,0.375,0.375,0.375,sadness
298,fear,0.306,0.306,0.332,0.306,0.306,0.306,sadness
299,sadness,0.555,0.555,0.606,0.555,0.555,0.555,sadness
300,fear,0.324,0.324,0.353,0.324,0.324,0.324,sadness
301,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
302,joy,0.154,0.154,0.167,0.154,0.154,0.154,sadness
303,fear,0.491,0.491,0.451,0.42,0.491,0.562,fear
304,joy,0.267,0.267,0.286,0.267,0.267,0.267,sadness
305,anger,0.199,0.199,0.213,0.199,0.199,0.199,sadness
306,anger,0,0,0,0,0,0,not found
307,love,0.34,0.34,0.367,0.34,0.34,0.34,sadness
308,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
309,surprise,0.49,0.49,0.533,0.49,0.49,0.49,sadness
310,joy,0,0,0,0,0,0,not found
311,anger,0.196,0.196,0.21,0.196,0.196,0.196,sadness
312,sadness,0.235,0.235,0.254,0.235,0.235,0.235,sadness
313,sadness,0,0,0,0,0,0,not found
314,anger,0.191,0.191,0.206,0.191,0.191,0.191,sadness
315,love,0.288,0.288,0.311,0.288,0.288,0.288,sadness
316,surprise,0.214,0.214,0.229,0.214,0.214,0.214,sadness
317,sadness,0.392,0.392,0.419,0.392,0.392,0.392,sadness
318,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
319,joy,0.34,0.34,0.367,0.34,0.34,0.34,sadness
320,anger,0.358,0.358,0.387,0.386,0.358,0.358,sadness
321,joy,0.313,0.313,0.337,0.313,0.313,0.313,sadness
322,sadness,0.192,0.192,0.205,0.192,0.192,0.192,sadness
323,sadness,0.267,0.267,0.286,0.267,0.267,0.267,sadness
324,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
325,joy,0.264,0.264,0.285,0.264,0.264,0.264,sadness
326,fear,0.364,0.364,0.4,0.364,0.364,0.364,sadness
327,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
328,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
329,joy,0.312,0.312,0.336,0.312,0.312,0.312,sadness
330,love,0.511,0.511,0.551,0.511,0.511,0.511,sadness
331,joy,0.508,0.508,0.555,0.508,0.508,0.508,sadness
332,joy,0.833,0.833,0.909,0.833,0.833,0.833,sadness
333,joy,0.383,0.383,0.418,0.383,0.383,0.383,sadness
334,joy,0.298,0.298,0.322,0.298,0.298,0.298,sadness
335,joy,0.27,0.27,0.291,0.27,0.27,0.27,sadness
336,love,0.343,0.343,0.368,0.343,0.343,0.343,sadness
337,joy,0.153,0.153,0.163,0.153,0.153,0.153,sadness
338,fear,0.714,0.714,0.769,0.714,0.714,0.714,sadness
339,fear,0.237,0.237,0.254,0.237,0.237,0.237,sadness
340,joy,0.329,0.329,0.355,0.329,0.329,0.329,sadness
341,joy,0.332,0.332,0.358,0.332,0.332,0.332,sadness
342,anger,0.22,0.22,0.235,0.22,0.22,0.22,sadness
343,joy,0.308,0.308,0.334,0.308,0.308,0.308,sadness
344,joy,0.433,0.433,0.467,0.433,0.433,0.433,sadness
345,joy,0.222,0.222,0.239,0.222,0.222,0.222,sadness
346,sadness,0.228,0.228,0.246,0.228,0.228,0.228,sadness
347,surprise,0.308,0.308,0.333,0.308,0.308,0.308,sadness
348,joy,0.351,0.351,0.381,0.351,0.351,0.351,sadness
349,joy,0.571,0.571,0.615,0.571,0.571,0.571,sadness
350,sadness,0.279,0.279,0.3,0.279,0.279,0.279,sadness
351,surprise,0.202,0.202,0.217,0.202,0.202,0.202,sadness
352,joy,0.41,0.41,0.445,0.41,0.41,0.41,sadness
353,fear,0.25,0.25,0.267,0.25,0.25,0.25,sadness
354,joy,0.316,0.316,0.34,0.316,0.316,0.316,sadness
355,anger,0.137,0.137,0.148,0.137,0.137,0.137,sadness
356,love,0.455,0.49,0.451,0.419,0.455,0.455,love
357,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
358,fear,0,0,0,0,0,0,not found
359,surprise,0.265,0.265,0.287,0.265,0.265,0.265,sadness
360,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
361,anger,0.296,0.296,0.32,0.296,0.296,0.296,sadness
362,sadness,0.356,0.356,0.385,0.356,0.356,0.356,sadness
363,sadness,0.147,0.147,0.159,0.147,0.147,0.147,sadness
364,sadness,0.56,0.56,0.608,0.56,0.56,0.56,sadness
365,fear,0.281,0.281,0.303,0.281,0.281,0.281,sadness
366,joy,0.292,0.292,0.314,0.292,0.292,0.292,sadness
367,fear,0,0,0,0,0,0,not found
368,joy,0.479,0.479,0.516,0.479,0.479,0.479,sadness
369,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
370,sadness,0.347,0.347,0.372,0.347,0.347,0.347,sadness
371,love,0.261,0.261,0.279,0.261,0.261,0.261,sadness
372,anger,0.271,0.271,0.293,0.271,0.271,0.271,sadness
373,sadness,0.286,0.286,0.308,0.286,0.286,0.286,sadness
374,love,0.411,0.446,0.403,0.375,0.411,0.411,love
375,love,0,0,0,0,0,0,not found
376,joy,0.222,0.222,0.235,0.222,0.222,0.222,sadness
377,sadness,0.49,0.49,0.533,0.49,0.49,0.49,sadness
378,joy,0.4,0.4,0.429,0.4,0.4,0.4,sadness
379,joy,0.153,0.153,0.164,0.153,0.153,0.153,sadness
380,anger,0.225,0.225,0.239,0.225,0.225,0.225,sadness
381,joy,0.118,0.118,0.125,0.118,0.118,0.118,sadness
382,love,0.272,0.272,0.292,0.272,0.272,0.272,sadness
383,joy,0.25,0.25,0.268,0.25,0.25,0.25,sadness
384,joy,0.189,0.189,0.202,0.189,0.189,0.189,sadness
385,sadness,0.23,0.23,0.248,0.23,0.23,0.23,sadness
386,surprise,0.362,0.362,0.392,0.362,0.362,0.362,sadness
387,joy,0.281,0.281,0.303,0.281,0.281,0.281,sadness
388,joy,0.202,0.202,0.217,0.202,0.202,0.202,sadness
389,sadness,0.246,0.246,0.264,0.246,0.246,0.246,sadness
390,surprise,0.242,0.242,0.264,0.242,0.242,0.242,sadness
391,anger,0.266,0.266,0.288,0.266,0.266,0.266,sadness
392,joy,0.244,0.244,0.262,0.244,0.244,0.244,sadness
393,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
394,love,0.29,0.29,0.313,0.29,0.29,0.29,sadness
395,joy,0.222,0.222,0.235,0.222,0.222,0.222,sadness
396,love,0.333,0.333,0.402,0.333,0.333,0.333,sadness
397,love,0.256,0.256,0.273,0.256,0.256,0.256,sadness
398,joy,0.42,0.42,0.452,0.42,0.42,0.42,sadness
399,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
400,joy,0.275,0.275,0.295,0.275,0.275,0.275,sadness
401,sadness,0.242,0.242,0.261,0.242,0.242,0.242,sadness
402,fear,0.136,0.136,0.146,0.136,0.136,0.136,sadness
403,anger,0.246,0.246,0.266,0.246,0.246,0.246,sadness
404,sadness,0.111,0.111,0.118,0.111,0.111,0.111,sadness
405,anger,0.502,0.502,0.544,0.502,0.502,0.502,sadness
406,joy,0.23,0.23,0.244,0.23,0.23,0.23,sadness
407,fear,0,0,0,0,0,0,not found
408,surprise,0.25,0.25,0.267,0.25,0.25,0.25,sadness
409,love,0.353,0.353,0.383,0.353,0.353,0.353,sadness
410,sadness,0.286,0.286,0.308,0.286,0.286,0.286,sadness
411,sadness,0.374,0.374,0.407,0.374,0.374,0.374,sadness
412,joy,0.154,0.154,0.167,0.154,0.154,0.154,sadness
413,surprise,0.241,0.241,0.259,0.241,0.241,0.241,sadness
414,love,0.309,0.309,0.329,0.309,0.309,0.309,sadness
415,sadness,0.23,0.23,0.246,0.23,0.23,0.23,sadness
416,sadness,0.202,0.202,0.217,0.202,0.202,0.202,sadness
417,joy,0.226,0.226,0.243,0.226,0.226,0.226,sadness
418,fear,0.25,0.25,0.267,0.25,0.25,0.25,sadness
419,joy,0.198,0.198,0.215,0.198,0.198,0.198,sadness
420,joy,0.273,0.273,0.293,0.273,0.273,0.273,sadness
421,joy,0.449,0.449,0.486,0.449,0.449,0.449,sadness
422,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
423,fear,0.25,0.25,0.267,0.25,0.25,0.25,sadness
424,sadness,0.281,0.281,0.303,0.281,0.281,0.281,sadness
425,sadness,0.641,0.641,0.69,0.641,0.641,0.641,sadness
426,fear,0.272,0.272,0.292,0.272,0.272,0.272,sadness
